country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,B.1.617,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,B.1.617,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,B.1.617,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,B.1.617,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,B.1.617,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,B.1.617,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,B.1.617,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,B.1.617,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,B.1.617,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,B.1.617,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,B.1.617,0,261,0
Spain,ES,2020-40,TESSy,65146,35,0.1,Yes,B.1.617,,32,
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,B.1.617,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.617.1,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,B.1.617.1,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,B.1.617.1,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,B.1.617.1,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,B.1.617.1,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,B.1.617.1,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,B.1.617.1,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,B.1.617.1,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,B.1.617.1,0,128,0
France,FR,2020-40,GISAID,79885,203,0.3,Yes,B.1.617.1,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,B.1.617.1,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,B.1.617.1,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,B.1.617.1,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,B.1.617.1,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,B.1.617.1,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,B.1.617.1,0,57,0
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,B.1.617.1,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,B.1.617.1,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,B.1.617.1,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,B.1.617.1,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,B.1.617.1,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,B.1.617.1,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,B.1.617.1,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,B.1.617.1,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,B.1.617.1,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,B.1.617.1,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,B.1.617.1,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,B.1.617.1,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,B.1.617.1,0,261,0
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,B.1.617.1,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.617.2,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,B.1.617.2,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,B.1.617.2,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,B.1.617.2,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,B.1.617.2,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,B.1.617.2,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,B.1.617.2,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,B.1.617.2,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,B.1.617.2,0,128,0
Finland,FI,2020-40,TESSy,856,2,0.2,Yes,B.1.617.2,1,2,50
France,FR,2020-40,GISAID,79885,203,0.3,Yes,B.1.617.2,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,B.1.617.2,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,B.1.617.2,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,B.1.617.2,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,B.1.617.2,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,B.1.617.2,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,B.1.617.2,0,57,0
Italy,IT,2020-40,TESSy,15459,309,2,Yes,B.1.617.2,1,309,0.3
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,B.1.617.2,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,B.1.617.2,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,B.1.617.2,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,B.1.617.2,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,B.1.617.2,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,B.1.617.2,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,B.1.617.2,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,B.1.617.2,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,B.1.617.2,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,B.1.617.2,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,B.1.617.2,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,B.1.617.2,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,B.1.617.2,0,261,0
Spain,ES,2020-40,TESSy,65146,35,0.1,Yes,B.1.617.2,2,32,6.2
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,B.1.617.2,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.617.3,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,B.1.617.3,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,B.1.617.3,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,B.1.617.3,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,B.1.617.3,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,B.1.617.3,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,B.1.617.3,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,B.1.617.3,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,B.1.617.3,0,128,0
France,FR,2020-40,GISAID,79885,203,0.3,Yes,B.1.617.3,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,B.1.617.3,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,B.1.617.3,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,B.1.617.3,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,B.1.617.3,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,B.1.617.3,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,B.1.617.3,0,57,0
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,B.1.617.3,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,B.1.617.3,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,B.1.617.3,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,B.1.617.3,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,B.1.617.3,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,B.1.617.3,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,B.1.617.3,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,B.1.617.3,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,B.1.617.3,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,B.1.617.3,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,B.1.617.3,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,B.1.617.3,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,B.1.617.3,0,261,0
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,B.1.617.3,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.620,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,B.1.620,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,B.1.620,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,B.1.620,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,B.1.620,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,B.1.620,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,B.1.620,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,B.1.620,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,B.1.620,0,128,0
France,FR,2020-40,GISAID,79885,203,0.3,Yes,B.1.620,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,B.1.620,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,B.1.620,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,B.1.620,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,B.1.620,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,B.1.620,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,B.1.620,0,57,0
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,B.1.620,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,B.1.620,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,B.1.620,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,B.1.620,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,B.1.620,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,B.1.620,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,B.1.620,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,B.1.620,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,B.1.620,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,B.1.620,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,B.1.620,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,B.1.620,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,B.1.620,0,261,0
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,B.1.620,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.621,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,B.1.621,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,B.1.621,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,B.1.621,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,B.1.621,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,B.1.621,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,B.1.621,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,B.1.621,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,B.1.621,0,128,0
France,FR,2020-40,GISAID,79885,203,0.3,Yes,B.1.621,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,B.1.621,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,B.1.621,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,B.1.621,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,B.1.621,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,B.1.621,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,B.1.621,0,57,0
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,B.1.621,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,B.1.621,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,B.1.621,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,B.1.621,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,B.1.621,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,B.1.621,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,B.1.621,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,B.1.621,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,B.1.621,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,B.1.621,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,B.1.621,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,B.1.621,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,B.1.621,0,261,0
Spain,ES,2020-40,TESSy,65146,35,0.1,Yes,B.1.621,1,32,3.1
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,B.1.621,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,C.1.2,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,C.1.2,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,C.1.2,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,C.1.2,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,C.1.2,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,C.1.2,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,C.1.2,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,C.1.2,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,C.1.2,0,128,0
France,FR,2020-40,GISAID,79885,203,0.3,Yes,C.1.2,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,C.1.2,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,C.1.2,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,C.1.2,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,C.1.2,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,C.1.2,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,C.1.2,0,57,0
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,C.1.2,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,C.1.2,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,C.1.2,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,C.1.2,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,C.1.2,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,C.1.2,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,C.1.2,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,C.1.2,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,C.1.2,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,C.1.2,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,C.1.2,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,C.1.2,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,C.1.2,0,261,0
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,C.1.2,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,C.37,0,4,0
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,C.37,0,18,0
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,C.37,0,2,0
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,C.37,0,11,0
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,C.37,0,7,0
Czechia,CZ,2020-40,GISAID,17865,32,0.2,Yes,C.37,0,32,0
Denmark,DK,2020-40,GISAID,3043,434,14.3,Yes,C.37,0,434,0
Estonia,EE,2020-40,GISAID,407,33,8.1,Yes,C.37,0,32,0
Finland,FI,2020-40,GISAID,856,128,15,Yes,C.37,0,128,0
France,FR,2020-40,GISAID,79885,203,0.3,Yes,C.37,0,193,0
Germany,DE,2020-40,GISAID,15287,157,1,Yes,C.37,0,153,0
Greece,EL,2020-40,GISAID,2398,12,0.5,Yes,C.37,0,12,0
Hungary,HU,2020-40,GISAID,6764,75,1.1,Yes,C.37,0,75,0
Iceland,IS,2020-40,GISAID,298,298,100,Yes,C.37,0,296,0
Ireland,IE,2020-40,GISAID,3042,16,0.5,Yes,C.37,0,16,0
Italy,IT,2020-40,GISAID,15459,57,0.4,Yes,C.37,0,57,0
Latvia,LV,2020-40,GISAID,410,212,51.7,Yes,C.37,0,212,0
Liechtenstein,LI,2020-40,GISAID,9,0,0,Yes,C.37,0,0,
Lithuania,LT,2020-40,GISAID,800,3,0.4,Yes,C.37,0,3,0
Luxembourg,LU,2020-40,GISAID,352,12,3.4,Yes,C.37,0,12,0
Malta,MT,2020-40,GISAID,311,0,0,Yes,C.37,0,0,
Netherlands,NL,2020-40,GISAID,24239,136,0.6,Yes,C.37,0,136,0
Norway,NO,2020-40,GISAID,743,87,11.7,Yes,C.37,0,87,0
Poland,PL,2020-40,GISAID,10810,2,0,Yes,C.37,0,2,0
Portugal,PT,2020-40,GISAID,4643,0,0,Yes,C.37,0,0,
Romania,RO,2020-40,GISAID,11392,4,0,Yes,C.37,0,4,0
Slovakia,SK,2020-40,GISAID,4238,0,0,Yes,C.37,0,0,
Slovenia,SI,2020-40,GISAID,1277,98,7.7,Yes,C.37,0,98,0
Spain,ES,2020-40,GISAID,65146,262,0.4,Yes,C.37,0,261,0
Sweden,SE,2020-40,GISAID,3642,20,0.5,Yes,C.37,0,20,0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,Other,4,4,100
Belgium,BE,2020-40,GISAID,18895,18,0.1,Yes,Other,18,18,100
Bulgaria,BG,2020-40,GISAID,1532,2,0.1,Yes,Other,2,2,100
Croatia,HR,2020-40,GISAID,1462,11,0.8,Yes,Other,11,11,100
Cyprus,CY,2020-40,GISAID,133,7,5.3,Yes,Other,7,7,100
